,wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
197,"Larkmead Vineyards, Lmv Salon, Napa Valley",94123,Napa Valley,Red,,California,Usa,,2012,False,93.42,B+,6
198,"Robert Mondavi Winery, Reserve Cabernet Sauvignon, Napa Valley",121454,Napa Valley,Red,,California,Usa,,1999,False,93.31,C+,5
199,"Anakota, Helena Dakota Vineyard Cabernet Sauvignon, Knights Valley",4040,Knights Valley,Red,,California,Usa,,2009,False,93.29,A,4
200,"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,2005,False,93.29,B,3
201,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,2006,False,93.28,B,5
202,"Stag'S Leap Wine Cellars, Estate Cask 23 Cabernet Sauvignon, Napa Valley",129784,Napa Valley,Red,,California,Usa,,2009,False,93.12,B+,4
203,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,2007,False,93.1,B,6
204,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,2004,False,93.09,C+,6
205,"Joseph Phelps Vineyards, Insignia, Napa Valley",89577,Napa Valley,Red,,California,Usa,,2009,False,93.04,B+,11
206,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2009,False,93.0,A,8
207,"Favia, Cerro Sur, Napa Valley",72715,Napa Valley,Red,,California,Usa,,2009,False,93.0,B,3
208,"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,2006,False,92.92,B,4
209,"Caymus Vineyards, Special Selection Cabernet Sauvignon, Napa Valley",30130,Napa Valley,Red,,California,Usa,,1999,False,92.88,C+,4
210,"Robert Craig Winery, Howell Mountain Cabernet Sauvignon, Napa Valley",121297,Napa Valley,Red,,California,Usa,,2009,False,92.87,B,5
