,wine,wine_id,appellation,color,wine_type,regions,country,classification,vintage,is_primeurs,score,confidence_index,journalist_count
173,"Spottswoode, Family Estate Grown Cabernet Sauvignon, St Helena",129353,St Helena,Red,,California,Usa,,2009,False,95.01,B,7
174,"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2008,False,95.0,A+,4
175,"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,,California,Usa,,1999,False,94.95,B,4
176,"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,,California,Usa,,2009,False,94.87,B,5
177,"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,2013,False,94.79,B+,5
178,"Dalla Valle Vineyards, Cabernet Sauvignon, Napa Valley",48287,Napa Valley,Red,,California,Usa,,2009,False,94.65,B+,5
179,"Caymus Vineyards, Special Selection Cabernet Sauvignon, Napa Valley",30130,Napa Valley,Red,,California,Usa,,2009,False,94.58,B,4
180,"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,2007,False,94.51,B,3
181,"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2013,False,94.48,B,6
182,"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2007,False,94.41,B,3
183,"Harlan Estate, Napa Valley",81980,Napa Valley,Red,,California,Usa,,1999,False,94.34,B,6
184,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,1990,False,94.3,B+,4
185,"Larkmead Vineyards, Lmv Salon, Napa Valley",94123,Napa Valley,Red,,California,Usa,,2015,False,94.28,A,4
186,"Larkmead Vineyards, Lmv Salon, Napa Valley",94123,Napa Valley,Red,,California,Usa,,2009,False,94.21,B+,4
187,"Chappellet, Pritchard Hill Cabernet Sauvignon, Napa Valley",31619,Napa Valley,Red,,California,Usa,,2009,False,94.14,B+,7
188,"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2009,False,94.12,B+,5
189,"Larkmead Vineyards, Lmv Salon, Napa Valley",94123,Napa Valley,Red,,California,Usa,,2014,False,94.08,A,6
190,"Larkmead Vineyards, Solari Cabernet Sauvignon, Napa Valley",94126,Napa Valley,Red,,California,Usa,,2005,False,94.07,C,3
191,"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,2014,False,93.92,C+,5
192,"Larkmead Vineyards, Lmv Salon, Napa Valley",94123,Napa Valley,Red,,California,Usa,,2013,False,93.84,B+,6
193,"Joseph Phelps Vineyards, Insignia, Napa Valley",89577,Napa Valley,Red,,California,Usa,,1999,False,93.72,C+,3
194,"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,2012,False,93.66,A+,5
195,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,1994,False,93.66,B,6
196,"Ramey Wine Cellars, Pedregal Vineyard Cabernet Sauvignon, Oakville",118768,Oakville,Red,,California,Usa,,2009,False,93.55,A,3
197,"Gallica, Cabernet Sauvignon, Oakville",77600,Oakville,Red,,California,Usa,,2009,False,93.49,B,6
198,"Dunn Vineyards, Howell Mountain Cabernet Sauvignon, California",68206,Howell Mountain,Red,,California,Usa,,1999,False,93.48,B,4
199,"Larkmead Vineyards, Lmv Salon, Napa Valley",94123,Napa Valley,Red,,California,Usa,,2012,False,93.42,B+,6
200,"Robert Mondavi Winery, Reserve Cabernet Sauvignon, Napa Valley",121454,Napa Valley,Red,,California,Usa,,1999,False,93.31,C+,5
201,"Anakota, Helena Dakota Vineyard Cabernet Sauvignon, Knights Valley",4040,Knights Valley,Red,,California,Usa,,2009,False,93.29,A,4
202,"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,2005,False,93.29,B,3
203,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,2006,False,93.28,B,5
204,"Stag'S Leap Wine Cellars, Estate Cask 23 Cabernet Sauvignon, Napa Valley",129784,Napa Valley,Red,,California,Usa,,2009,False,93.12,B+,4
205,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,2007,False,93.1,B,6
206,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,,California,Usa,,2004,False,93.09,C+,6
207,"Joseph Phelps Vineyards, Insignia, Napa Valley",89577,Napa Valley,Red,,California,Usa,,2009,False,93.04,B+,11
208,"Opus One, Napa Valley",111085,Napa Valley,Red,,California,Usa,,2009,False,93.0,A,8
209,"Favia, Cerro Sur, Napa Valley",72715,Napa Valley,Red,,California,Usa,,2009,False,93.0,B,3
210,"Beaulieu Vineyard Bv, Georges De Latour Private Reserve Cabernet Sauvignon, Napa Valley",9765,Napa Valley,Red,,California,Usa,,2006,False,92.92,B,4
